Population,unemployment_lvl,salary,migration_rate,region,country
124500,5.0,19805.25,11.13322762,Арагацотнская область,Армения
256700,9.3,29076.6,11.13322762,Араратская область,Армения
264000,8.3,22279.95,11.13322762,Армавирская область,Армения
227400,7.2,19192.35,11.13322762,Гехаркуникская область,Армения
1092000,19.8,39924.6,11.13322762,Ереван,Армения
251200,21.9,24546.45,11.13322762,Котайкская область,Армения
212600,23.8,20617.8,11.13322762,Лорийская область,Армения
135900,13.0,45681.0,11.13322762,Сюникская область,Армения
120600,26.1,22084.05,11.13322762,Тавушская область,Армения
231000,14.4,19107.15,11.13322762,Ширакская область,Армения
48200,16.6,23066.7,11.13322762,_Вайоцдзорская область,Армения
1315405,4.2,34968.2,-22.33532638,Брестская область,Беларусь
1091948,4.4,34249.0,-20.84348339,Витебская область,Беларусь
1347469,3.6,36206.5,-22.01905944,Гомельская область,Беларусь
998600,2.6,35284.3,-9.643500901,Гродненская область,Беларусь
1995471,3.6,58698.9,26.57517949,Минск,Беларусь
1462021,3.1,41014.7,38.65197559,Минская область,Беларусь
989703,5.5,33271.7,-18.28831478,Могилёвская область,Беларусь
221598,5.4,45007.47563,-79.7,область Улытау,Казахстан
1524539,25.9,38279.6325,2.6,Алматинская область,Казахстан
788334,8.5,36254.7747,-37.1,Акмолинская область,Казахстан
936847,6.3,40185.4752,-15.3,Актюбинская область,Казахстан
2211198,4.8,52375.1832,143.2,Алматы,Казахстан
701353,8.2,79897.7364,-21.3,Атырауская область,Казахстан
727894,6.8,43267.9485,-41.1,Восточно-Казахстанская область,Казахстан
1409497,4.4,57046.6593,260.5,город республиканского значения Астана,Казахстан
36175,9.0,45007.47563,-15.5,город республиканского значения Байконур,Казахстан
1221976,10.3,37110.6516,-84.0,Жамбылская область,Казахстан
692064,8.7,42961.9605,-15.7,Западно-Казахстанская область,Казахстан
1135601,5.0,45199.5867,-33.5,Карагандинская область,Казахстан
830466,7.3,36018.3456,-34.8,Костанайская область,Казахстан
840153,9.6,41896.8732,-60.3,Кызылординская область,Казахстан
782023,10.6,66808.0323,23.7,Мангистауская область,Казахстан
608607,7.9,45007.47563,-85.0,область Абай,Казахстан
698644,9.9,45007.47563,-93.5,область Жетысу,Казахстан
754934,6.7,41196.4809,-31.0,Павлодарская область,Казахстан
531331,10.1,33179.2395,-49.0,Северо-Казахстанская область,Казахстан
2137694,17.8,39129.4608,-73.1,Туркестанская область,Казахстан
1213211,4.9,34319.0448,14.6,Шымкент,Казахстан
2268179,5.8,39270.4,-36.3,Алтайский край,Россия
772525,5.4,65863.9,-40.3,Амурская область,Россия
1114322,6.3,67834.8,-28.1,Архангельская область,Россия
989430,7.6,47779.9,-50.0,Астраханская область,Россия
1531917,3.9,47637.8,-72.91,Белгородская область,Россия
1168771,3.8,40804.1,-19.9,Брянская область,Россия
1323659,4.0,45676.7,-22.9,Владимирская область,Россия
2449781,5.3,44241.5,-24.9,Волгоградская область,Россия
1139499,4.5,53580.1,-22.0,Вологодская область,Россия
2287678,3.6,46276.7,2.7,Воронежская область,Россия
153831,6.2,56956.8,-86.7,Еврейская автономная область,Россия
1043467,9.3,59412.9,-54.9,Забайкальский край,Россия
976918,3.8,36379.9,-4.2,Ивановская область,Россия
2357134,6.6,64634.9,-44.3,Иркутская область,Россия
