id,sales_per_month,region,locality,x,y,people_iso_3,people_iso_5,people_iso_10,people_iso_15,people_iso_30,type,geometry,index_right,fclass
18398,2538.0,Челябинская область,Озерск,60.692229,55.761933,971,2093,10439,23027,73676,train,POINT (60.692229 55.761933),,
14532,1645.0,Москва,Москва,37.678559,55.702931,840,2329,15949,35836,67185,train,POINT (37.678559 55.702931),598516.0,residential
23801,3176.0,Липецкая область,Липецк,39.524007,52.589588,690,4012,22279,47864,163666,train,POINT (39.524007 52.589588),777617.0,residential
9791,4759.0,Краснодарский край,посёлок городского типа Сириус,39.957405,43.414255,49,515,2699,3710,9449,train,POINT (39.957405 43.414255),3681669.0,residential
3004,2051.0,Тюменская область,Сургут,73.450188,61.237837,1416,5619,23135,50801,110709,train,POINT (73.450188 61.237837),4153109.0,residential
13255,2505.0,Московская область,Сергиев Посад,38.076475,56.283876,4,62,362,1454,4649,train,POINT (38.076475 56.283876),847186.0,residential
16151,1791.0,Московская область,Клин,36.748965,56.310145,235,715,1323,1332,16237,train,POINT (36.748965 56.310145),943956.0,residential
6453,2249.0,Ростовская область,Зерноград,40.323562,46.851779,0,87,435,2701,14334,train,POINT (40.323562 46.851779),3905699.0,residential
5637,1805.0,Ульяновская область,Инза,46.357268,53.843391,530,906,3001,4429,8256,train,POINT (46.357268 53.843391),4981718.0,residential
536,3161.0,Иркутская область,Усть-Илимск,102.652469,57.990519,91,325,1679,7138,23191,train,POINT (102.652469 57.990519),3594498.0,residential
5220,2070.0,Архангельская область,Северодвинск,39.77712,64.551078,1639,5124,18959,40620,102006,train,POINT (39.77712 64.551078),,
11817,1638.0,Ростовская область,посёлок Белозерный,41.336703,46.83705,3,84,327,813,1002,train,POINT (41.336703 46.83705),,
17850,3258.0,Республика Дагестан,Избербаш,47.866463,42.572908,778,1169,9278,18765,44699,train,POINT (47.866463 42.572908),,
9804,2127.0,Республика Мордовия,Саранск,45.127183,54.172083,805,2345,10513,25799,53923,train,POINT (45.127183 54.172083),4672032.0,residential
9523,1456.0,Приморский край,Спасск-Дальний,132.859083,44.592332,0,4,127,149,353,train,POINT (132.859083 44.592332),,
15905,2580.0,Ростовская область,Миллерово,40.406976,48.912935,32,35,1109,3519,14942,train,POINT (40.406976 48.912935),,
22871,3247.0,Московская область,село Домодедово,37.702159,55.472881,150,2140,11498,11498,12038,train,POINT (37.702159 55.472881),1326515.0,residential
13643,2074.0,Республика Крым,Симферополь,34.096743,44.972194,752,1102,10641,26604,82481,train,POINT (34.096743 44.972194),1868674.0,grass
16088,2213.0,Республика Татарстан,Казань,49.191006,55.756233,154,2513,14825,39347,150657,train,POINT (49.191006 55.756233),4667679.0,residential
25865,2480.0,Смоленская область,Смоленск,32.044862,54.777922,989,1536,4124,14355,83508,train,POINT (32.044862 54.777922),661297.0,residential
21865,3270.0,Московская область,село Тарасовка,37.849142,55.964277,361,655,769,1758,9956,train,POINT (37.849142 55.964277),1080807.0,residential
22308,3053.0,Пензенская область,Пенза,44.968592,53.214018,480,3573,12963,22288,80757,train,POINT (44.968592 53.214018),4629550.0,residential
19297,2778.0,Московская область,Чехов,37.483925,55.159742,1006,2412,5034,12039,45605,train,POINT (37.483925 55.159742),,
23476,2123.0,Приморский край,Артём,132.168131,43.351749,980,1931,8906,14874,33360,train,POINT (132.168131 43.351749),1910398.0,residential
14618,1837.0,Московская область,Апрелевка,37.059548,55.535065,50,810,1504,1952,20284,train,POINT (37.059548 55.535065),980901.0,residential
8435,2019.0,Санкт-Петербург,Санкт-Петербург,30.418324,59.890923,1280,4119,15411,26393,49574,train,POINT (30.418324 59.890923),2177922.0,residential
3201,1737.0,Брянская область,Брянск,34.407007,53.216058,192,672,6927,18000,46664,train,POINT (34.407007 53.216058),1548579.0,residential
22983,2158.0,Свердловская область,Каменск-Уральский,61.930601,56.388162,156,841,12285,32482,72120,train,POINT (61.930601 56.388162),4230651.0,residential
23363,1581.0,Московская область,рабочий посёлок Фряново,38.426237,56.136112,350,1052,2533,2739,5556,train,POINT (38.426237 56.136112),1096321.0,residential
8532,3289.0,город республиканского значения Астана,Астана,71.43874,51.165348,511,2975,21889,48824,147011,train,POINT (71.43874 51.165348),,
14597,2011.0,Московская область,посёлок Сосны,37.057909,55.731254,468,468,2022,2067,2394,train,POINT (37.057909 55.731254),608925.0,residential
1414,2245.0,Краснодарский край,Сочи,39.760491,43.567767,790,1582,7858,14246,23760,train,POINT (39.760491 43.567767),3703652.0,residential
15127,2086.0,Чеченская Республика,село Толстой-Юрт,45.769209,43.44422,10,170,1875,4805,13070,train,POINT (45.769209 43.44422),2081016.0,residential
24474,1938.0,Приморский край,Владивосток,131.917968,43.180929,677,2299,10883,22080,70612,train,POINT (131.917968 43.180929),1916181.0,residential
25304,2576.0,Республика Бурятия,село Бичура,107.595897,50.585417,15,39,477,921,4458,train,POINT (107.595897 50.585417),,
5301,3241.0,Нижегородская область,Дзержинск,43.467415,56.252724,156,1746,6393,22647,59073,train,POINT (43.467415 56.252724),4712765.0,residential
16255,1903.0,Москва,Москва,37.896805,55.711022,1019,4200,15007,36704,125983,train,POINT (37.896805 55.711022),603850.0,residential
18597,4255.0,Самарская область,Самара,50.216611,53.255023,830,3980,16047,36478,164854,train,POINT (50.216611 53.255023),4925097.0,residential
25925,2182.0,Самарская область,Сызрань,48.450051,53.153482,55,428,1825,4234,24067,train,POINT (48.450051 53.153482),4940272.0,residential
8579,2067.0,Республика Татарстан,Болгар,49.022601,54.981158,6,24,2733,5080,7968,train,POINT (49.022601 54.981158),,
24644,3774.0,Минская область,Солигорск,27.552107,52.784081,660,2966,10319,18782,52527,train,POINT (27.552107 52.784081),56117.0,residential
13238,1990.0,Белгородская область,Губкин,37.597739,51.303055,60,564,5438,7585,7909,train,POINT (37.597739 51.303055),626622.0,residential
6086,2029.0,Калужская область,Калуга,36.272201,54.51908,2139,4847,20401,47731,166613,train,POINT (36.272201 54.51908),723577.0,residential
16557,2176.0,Тюменская область,Муравленко,74.49175,63.7988,189,1279,10335,17713,31680,train,POINT (74.49175 63.7988),4152813.0,residential
19236,2240.0,Чувашская Республика,Чебоксары,47.198285,56.119687,1165,4337,16582,41162,106802,train,POINT (47.198285 56.119687),5427336.0,residential
21923,1909.0,Республика Марий Эл,посёлок городского типа Параньга,49.402409,56.707639,37,186,592,1666,5958,train,POINT (49.402409 56.707639),4772312.0,residential
